area,price,location
39.8,557500,"Wrocław, Stare Miasto"
38.82,499000,"Wrocław, Psie Pole"
56.67,829000,"Wrocław, Śródmieście"
58.8,995000,"Wrocław, Stare Miasto"
37.06,684000,Wrocław
47.52,1183248,"Wrocław, Stare Miasto"
40.04,740700,Wrocław
46.0,1299999,"Wrocław, Stare Miasto"
69.12,2004480,"Wrocław, Stare Miasto"
38.74,940000,"Wrocław, Stare Miasto"
27.0,469000,"Wrocław, Stare Miasto"
80.1,870000,"Wrocław, Śródmieście"
45.0,649000,"Wrocław, Fabryczna"
74.0,999000,"Wrocław, Psie Pole"
92.0,920000,Wrocław
73.48,821462,"Wrocław, Stare Miasto"
117.0,3510000,"Wrocław, Stare Miasto"
63.7,887000,"Wrocław, Psie Pole"
46.0,650000,"Wrocław, Stare Miasto"
70.0,910000,"Wrocław, Psie Pole"
50.0,820000,"Wrocław, Stare Miasto"
64.0,698000,"Wrocław, Krzyki"
75.48,1198000,"Wrocław, Śródmieście"
48.17,660000,"Wrocław, Psie Pole"
70.6,940000,"Wrocław, Fabryczna"
69.0,690000,"Wrocław, Fabryczna"
40.5,439000,"Wrocław, Psie Pole"
60.14,599000,Wrocław
80.17,105866180,"Wrocław, Psie Pole"
79.98,948318,"Wrocław, Stare Miasto"
64.7,850000,"Wrocław, Krzyki"
